,post_id,ticker,dividendo,yeld,media_yield_3m,soma_yield_3m,media_yield_6m,soma_yield_6m,media_yield_12m,soma_yield_12m,variacao_cotacao_mes,rentabilidade,rentabilidade_mes,cotacao_fechamento,soma_yield_ano_corrente,ano,vpa_yield,vpa,vpa_change,pl,vpa_rent,vpa_rent_m,yield_vpa_3m_sum,yield_vpa_3m,yield_vpa_6m_sum,yield_vpa_6m,yield_vpa_12m_sum,yield_vpa_12m,setor,setor_slug,valor,liquidezmediadiaria,patrimonio,pvp,p_vpa,post_title,ativos,volatility,numero_cotista,tx_gestao,tx_admin,tx_performance
166,2612,HCRA11,0.96,0.0,0.71,2.13,0.9117,5.47,0.975,11.7,0.0,,0.0,,2.13,2024.0,,,,,,,,,,,,,Indefinido,indefinido,102.89,816.57,0.0,0.0,,HCRA11,,23.616952998327,0,,,
167,212,HCRI11,2.58,0.85,0.9367,2.81,0.9583,5.75,0.9883,11.86,-2.5559,3.0084,-1.7276,305.0,2.81,2024.0,0.8188,321.22,4.3058,64244565.79,12.5402,5.1598,2.9579,0.986,5.7439,0.9573,10.8886,0.9074,Hospitalar,hospitalar,299.0,50793.7,64244565.79,0.9343,0.9308262250171221,HCRI11,1,19.080893974956,3267,,,
168,355,HCTR11,0.388,1.26,1.0433,3.13,0.9783,5.87,0.8992,10.79,-13.2584,-12.8412,-12.1655,30.88,3.13,2024.0,0.3051,111.43,-8.1974,2460879979.62,8.5661,-7.9173,0.9148,0.3049,1.7512,0.2919,4.1343,0.3445,Papéis,papeis,34.56,1739227.35,2460879979.62,0.306,0.31014986987346305,HCTR11,0,51.327671956086,182250,,,
169,89,HDEL11,5.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,2024.0,,,,,,,,,,,,,Imóveis Industriais e Logísticos,imoveis-industriais-e-logisticos,107.5,21500,74019271.33,1.2199,,HDEL11,0,7.868959202048,61,,,
170,274,HFOF11,0.63,0.81,0.8033,2.41,0.8167,4.9,0.8367,10.04,-0.0897,9.0332,0.7195,77.93,2.41,2024.0,0.7805,80.72,-0.1978,1860050399.85,4.7544,0.5811,2.3299,0.7766,4.6632,0.7772,9.3941,0.7828,Fundo de Fundos,fundo-de-fundos,77.85,1516767.8,1860050399.85,0.9607,0.9644449950445981,HFOF11,0,13.898802086098,77582,,,
171,476,HGAG11,0.16,0.7,0.91,2.73,0.7867,4.72,0.9483,11.38,-10.5882,4.355,-9.9624,22.8,2.73,2024.0,0.6737,23.75,0.0,5895203.82,0.0,0.0,3.4509,1.1503,5.4377,0.9063,10.4997,1.3125,Indefinido,indefinido,21.0,5540.75,5868290.64,0.8464,0.8842105263157891,HGAG11,0,50.969333276283,1437,,,
172,374,HGBS11,1.75,0.76,0.8,2.4,0.8383,5.03,0.7875,9.45,0.4814,5.3512,1.2451,229.6,2.4,2024.0,0.758,230.88,4.0375,2939114089.44,16.0566,4.8261,2.4861,0.8287,5.1647,0.8608,9.3473,0.7789,Shoppings,shoppings,229.12,4854138.88,2939114089.44,0.9936,0.9923769923769921,HGBS11,14,10.411033464548,113209,,,
173,231,HGCR11,0.95,0.89,0.9133,2.74,0.9433,5.66,1.03,12.36,0.3497,5.0305,1.2428,106.17,2.74,2024.0,0.9315,101.99,1.0202,1572486077.4,15.9426,1.9612,2.8881,0.9627,5.9412,0.9902,12.7514,1.0626,Papéis,papeis,106.27,3966474.18,1572486077.4,1.0399,1.041964898519462,HGCR11,0,10.806355955012,103341,,,
174,387,HGFF11,0.7,0.8,0.79,2.37,0.8017,4.81,0.8075,9.69,-3.5706,6.9095,-2.7992,87.5,2.37,2024.0,0.7393,94.68,9.0281,271132889.26,15.6992,9.8342,2.2241,0.7414,4.4986,0.7498,8.8944,0.7412,Fundo de Fundos,fundo-de-fundos,91.14,927832.03,271132889.26,0.9562,0.9626108998732571,HGFF11,0,15.992155471037,16200,,,
175,437,HGIC11,0.6731,0.64,0.7933,2.38,0.8833,5.3,0.8667,10.4,-0.0952,1.7199,0.5442,104.9,2.38,2024.0,0.692,117.96,2.8243,54579097.65,23.0945,3.5358,2.4156,0.8052,5.4179,0.903,10.6728,0.8894,Papéis,papeis,103.33,7242.51,54579097.65,0.8681,0.8759749067480501,HGIC11,2,24.48609768395,376,,,
